id;title;price;rooms;bathrooms;size;parking_space;type;number;neighborhood_name;population;houses;area;street_name;zip_code;flood_quota;latitude;longitude;modality_name;company_name
68;Casa à Venda em Blumenau no bairro Itoupava Central;550000.0;3;3;157.0;4;casa;39;Itoupava Central;28164;8715;45.0;Rua Bruno Mordhorst;89062-244;17.65;-26.8260108;-49.0799027;venda;portal_imoveis
69;Sobrado à Venda em Blumenau no bairro Água Verde;510000.0;3;3;200.0;2;sobrado;321;Agua Verde;16186;5526;5.0;Rua Max Weise;89032-280;;-26.9054906;-49.1346702;venda;portal_imoveis
75;Casa à Venda em Blumenau no bairro Água Verde;900000.0;3;2;204.0;2;casa;583;Agua Verde;16186;5526;5.0;Rua Frei Estanislau Schaette;89037-256;19.25;-26.9123839;-49.1120379;venda;portal_imoveis
76;Sobrado à Venda em Blumenau no bairro Velha Central;389000.0;2;3;78.18;2;sobrado;331;Velha Central;18779;6119;7.0;Rua Hugo Hoffmann;89040-296;;-26.9282255;-49.1252643;venda;portal_imoveis
77;Casa à Venda em Blumenau no bairro Água Verde;800000.0;3;2;200.0;3;casa;80;Agua Verde;16186;5526;5.0;Rua Arthur Weise;89032-290;;-26.9060085;-49.1343596;venda;portal_imoveis
83;Casa à Venda em Blumenau no bairro Passo Manso;450000.0;3;2;200.0;5;casa;32;Passo Manso;6799;2069;7.0;Rua Josepha Micheluzzi;89032-340;;-26.9123888;-49.1389979;venda;portal_imoveis
84;Lote/Terreno à Venda em Blumenau no bairro Velha;390000.0;0;0;518.95;0;loteterreno;480;Agua Verde;16186;5526;5.0;Rua Evald Braun;89037-193;;-26.9131067;-49.1019599;venda;portal_imoveis
85;Lote/Terreno à Venda em Blumenau no bairro Ponta Aguda;300000.0;0;0;359.37;0;loteterreno;;Ponta Aguda;9880;3233;7.0;Rua Silvano Candido Da Silva Senior;89050-280;;-26.9004052;-49.0464149;venda;portal_imoveis
92;Lote/Terreno à Venda em Blumenau no bairro Itoupava Central;220000.0;0;0;720.0;0;loteterreno;3395;Itoupava Central;28164;8715;45.0;Rua Professor Jacob Ineichen;89066-598;;-26.8426432;-49.1113311;venda;portal_imoveis
93;Casa à Venda em Blumenau no bairro Itoupavazinha;1000000.0;3;2;4600.0;2;casa;385;Itoupavazinha;17560;5358;12.0;Rua Luiz Maske;89066-650;;-26.8399033;-49.1205342;venda;portal_imoveis
99;Lote/Terreno à Venda em Blumenau no bairro Itoupavazinha;240000.0;0;0;456.28;0;loteterreno;78;Itoupavazinha;17560;5358;12.0;Rua Luiz Maske;89066-650;;-26.8399033;-49.1205342;venda;portal_imoveis
100;Casa à Venda em Blumenau no bairro Itoupava Central;265000.0;2;1;67.41;2;casa;726;Itoupava Central;28164;8715;45.0;Rua Norma Hadlich;89069-040;;-26.8066061;-49.0942941;venda;portal_imoveis
101;Casa à Venda em Blumenau no bairro Passo Manso;780000.0;3;3;245.0;4;casa;555;Passo Manso;6799;2069;7.0;Rua Alberto Manzke;89032-560;;-26.9017354;-49.156217;venda;portal_imoveis
107;Casa à Venda em Blumenau no bairro Velha Central;330000.0;2;1;100.0;4;casa;167;Velha Central;18779;6119;7.0;Rua Johann Bachmann;89040-330;;-26.9276145;-49.1293332;venda;portal_imoveis
108;Lote/Terreno à Venda em Blumenau no bairro Velha;298000.0;0;0;610.2;0;loteterreno;;Velha;15373;5470;6.0;Rua Harry Gauche;89036-390;;-26.9147403;-49.0933321;venda;portal_imoveis
